Name of School,Address,Town,Latitude,Longitude,Category of School,Private or Public (GES Schools),Region,District,Circuit,First Name,Last Name,Contact Number,Contact Email,Number of Classrooms,Boarding Facilities?,Sanitary Facilities?,Science or Teachnical Laboratory?,Assembly Hall?,Library Facilities?,Dining Facilities?,School Bus?,Sporting Facilities?,Staff Accommodation?,Description
AWUTU BAWJIASE COMM SENIOR HIGH SCHOOL,,BAWJIASE,5.602603086,-0.555348653,SHS,Public,CENTRAL,AWUTU/SENYA,,,,244412263,awutubawjiasecommshs@ges.gov.gh,,NO,,,,,,,,,
OBRACHIRE SENIOR HIGH/TECH SCHOOL,,OBRAKYERE,5.693678366,-0.557065088,SHS,Public,CENTRAL,AWUTU/SENYA,,,,599513131,obrachireshst@ges.gov.gh,,YES,,,,,,,,,
ODUPONG COMM. DAY SCHOOL,,"ODUPONG-
KASOA",5.654793409,-0.581309788,SHS,Public,CENTRAL,AWUTU/SENYA,,,,024 375 6450,odupongcommshs@ges.gov.gh,,NO,,,,,,,,,
AWUTU WINTON SENIOR HIGH SCHOOL,,AWUTU,5.600564848,-0.472776603,SHS,Public,CENTRAL,AWUTU/SENYA,,,,+233 24 472 1353,awutuwintonshs@ges.gov.gh,,NO,,,,,,,,,
SENYA SENIOR HIGH SCHOOL,,SENYA,5.509456219,-0.52423143,SHS,Public,CENTRAL,AWUTU/SENYA,,,,545108117,senyashs@ges.gov.gh,,YES,,,,,,,,,
CAPE COAST TECH. INST.,,CAPE COAST,5.410750298,-0.505502846,TECH,Public,CENTRAL,CAPE COAST,,,,332092170,capecoasttechinst@ges.gov.gh,,YES,,,,,,,,,
EFFUTU SENIOR HIGH/TECH SCHOOL,,CAPE COAST,5.129566885,-1.277693432,SHS,Public,CENTRAL,CAPE COAST METRO,,,,248842716,effutushst@ges.gov.gh,,YES,,,,,,,,,
"ACADEMY OF CHRIST THE KING, CAPE COAST",,CAPE COAST,5.204495673,-1.323535719,SHS,Public,CENTRAL,CAPE COAST METRO,,,,+233 24 288 8892,academyofchristthekingshs@ges.gov.gh,,NO,,,,,,,,,
"WESLEY GIRLS SENIOR HIGH SCHOOL, CAPE COAST",,CAPE COAST,5.144379916,-1.267164123,SHS,Public,CENTRAL,CAPE COAST METRO,,,,502288449,wesleygirlscapecoastshs@ges.gov.gh,,YES,,,,,,,,,
GHANA NATIONAL COLLEGE,,CAPE COAST,5.131713027,-1.279485132,SHS,Public,CENTRAL,CAPE COAST METRO,,,,553646952,ghananationalshs@ges.gov.gh,,YES,,,,,,,,,
UNIVERSITY PRACTICE SENIOR HIGH SCHOOL,,CAPE COAST,5.130088755,-1.227176417,SHS,Public,CENTRAL,CAPE COAST METRO,,,,552537260,universitypracticeshs@ges.gov.gh,,YES,,,,,,,,,
"HOLY CHILD SCHOOL, CAPE COAST",,CAPE COAST,5.131734399,-1.279528047,SHS,Public,CENTRAL,CAPE COAST METRO,,,,332132733,holychildsch@ges.gov.gh,,YES,,,,,,,,,
ADISADEL COLLEGE,,CAPE COAST,5.121568686,-1.233671974,SHS,Public,CENTRAL,CAPE COAST METRO,,,,332132543,adisadelshs@ges.gov.gh,,YES,,,,,,,,,
OGUAA SENIOR HIGH/TECH SCHOOL,,CAPE COAST,5.121148844,-1.264743661,SHS,Public,CENTRAL,CAPE COAST METRO,,,,332133047,oguaashst@ges.gov.gh,,YES,,,,,,,,,
MFANTSIPIM SCHOOL,,CAPE COAST,5.120951791,-1.22431349,SHS,Public,CENTRAL,CAPE COAST METRO,,,,244748992,mfantsipimshs@ges.gov.gh,,YES,,,,,,,,,
"ST. AUGUSTINE'S COLLEGE, CAPE COAST",,CAPE COAST,5.115720404,-1.24985579,SHS,Public,CENTRAL,CAPE COAST METRO,,,,332132733,st.augustinesshs@ges.gov.gh,,YES,,,,,,,,,
WINNEBA SENIOR HIGH SCHOOL,,WINNEBA,5.102829646,-1.263434438,SHS,Public,CENTRAL,EFFUTU MUNICIPAL,,,,+233 20 812 9851,winnebashs@ges.gov.gh,,YES,,,,,,,,,
EKUMFI T. I. AHMADIIYYA SENIOR HIGH SCHOOL,,ESAKYIR,5.357823204,-0.636388195,SHS,Public,CENTRAL,EKUMFI,,,,+233 24 446 9671,ekumfittiahmadiyyashs@ges.gov.gh,,YES,,,,,,,,,
J.E.A. MILLS SENIOR HIGH SCHOOL,,OTUAM,5.329688233,-0.905264959,SHS,Public,CENTRAL,EKUMFI,,,,244854602,jeamillsshs@ges.gov.gh,,NO,,,,,,,,,
AKYIN SENIOR HIGH SCHOOL,,MBROBOTO,5.256915538,-0.830809632,SHS,Public,CENTRAL,EKUMFI CENTRAL,,,,244706061,akyinshs@ges.gov.gh,,NO,,,,,,,,,
OGYEEDOM COMM SENIOR HIGH/TECH SCHOOL,,GOMOA AFRANSI,5.207815172,-0.893744559,SHS,Public,CENTRAL,GOMOA CENTRAL,,,,208149348,ogyeedomcommshst@ges.gov.gh,,NO,,,,,,,,,
ST. GREGORY CATHOLIC SENIOR HIGH SCHOOL,,BUDUBURAM,5.518997809,-0.745084133,SHS,Public,CENTRAL,GOMOA EAST,,,,541583360,stgregorycatholicshs@ges.gov.gh,,NO,,,,,,,,,
GOMOA GYAMAN SENIOR HIGH SCHOOL,,GOMOA GYAMAN,5.695393912,-0.456525992,SHS,Public,CENTRAL,GOMOA EAST,,,,+233 24 464 3691,gomoagyamanshs@ges.gov.gh,,NO,,,,,,,,,
POTSIN T.I. AHM. SENIOR HIGH SCHOOL,,POTSIN,5.501228943,-0.76178929,SHS,Public,CENTRAL,GOMOA EAST,,,,559451964,potsintiahmadiyyashs@ges.gov.gh,,YES,,,,,,,,,
FETTEHMAN SENIOR HIGH SCHOOL,,GOMOA FETTEH,5.455764161,-0.590819561,SHS,Public,CENTRAL,GOMOA EAST,,,,557922440,fettehmanshs@ges.gov.gh,,NO,,,,,,,,,
"COLLEGE OF MUSIC SENIOR HIGH SCHOOL,
MOZANO",,MOZANO,5.43530073,-0.489925563,SHS,Public,CENTRAL,GOMOA WEST,,,,+233 20 261 9477,collegeofmusicshs@ges.gov.gh,,YES,,,,,,,,,
MOZANO SENIOR HIGH SCHOOL,,MOZANO,5.435634827,-0.715199801,SHS,Public,CENTRAL,GOMOA WEST,,,,+233 24 474 5978,mozanoshs@ges.gov.gh,,YES,,,,,,,,,
GOMOA SENIOR HIGH/TECH SCHOOL,,DAWURAMPON,5.509600003,-0.855697175,SHS,Public,CENTRAL,GOMOA WEST,,,,553019506,gomoashst@ges.gov.gh,,YES,,,,,,,,,
APAM SENIOR HIGH SCHOOL,,APAM,5.435249786,-0.788112117,SHS,Public,CENTRAL,GOMOA WEST,,,,551452934,apamshs@ges.gov.gh,,YES,,,,,,,,,
EGUAFO-ABREM SENIOR HIGH SCHOOL,,EGUAFO ABIREM,5.521375773,-0.418772405,SHS,Public,CENTRAL,"KOMENDA/EDINA/EGUAFO/A
BIREM MUNICIPAL",,,,+233 24 330 6285,eguafoabremshs@ges.gov.gh,,YES,,,,,,,,,
EDINAMAN SENIOR HIGH SCHOOL,,ELMINA,5.176772568,-1.418085746,SHS,Public,CENTRAL,"KOMENDA/EDINA/EGUAFO/A
BIREM MUNICIPAL",,,,+233 24 476 6087,edinamanshs@ges.gov.gh,,YES,,,,,,,,,
KOMENDA SENIOR HIGH/TECH SCHOOL,,KOMENDA,5.084909869,-1.372195532,SHS,Public,CENTRAL,"KOMENDA/EDINA/EGUAFO/A
BIREM MUNICIPAL",,,,332191932,komendashst@ges.gov.gh,,YES,,,,,,,,,
ABEADZE STATE COLLEGE,,"ABEADZE
DOMEABRA",5.050869801,-1.506356844,SHS,Public,CENTRAL,MFANTSIMAN MUNICIPAL,,,,+233 55 656 5091,abeadzestateshs@ges.gov.gh,,YES,,,,,,,,,
MANKESSIM SENIOR HIGH/TECH SCHOOL,,MANKESIM,5.144176619,-1.27859089,SHS,Public,CENTRAL,MFANTSIMAN MUNICIPAL,,,,502288449,mankessimshst@ges.gov.gh,,YES,,,,,,,,,
MFANTSIMAN GIRLS SENIOR HIGH SCHOOL,,SALTPOND,5.280152729,-1.025472888,SHS,Public,CENTRAL,MFANTSIMAN MUNICIPAL,,,,556241100,mfantsimangirlsshs@ges.gov.gh,,YES,,,,,,,,,
"METHODIST HIGH SCHOOL,SALTPOND",,SALTPOND,5.222979861,-1.042464546,SHS,Public,CENTRAL,MFANTSIMAN MUNICIPAL,,,,243154914,methodisthighsaltpondshs@ges.gov.gh,,YES,,,,,,,,,
KWEGYIR AGGREY SENIOR HIGH SCHOOL,,ANOMABO,5.203567796,-1.058543561,SHS,Public,CENTRAL,MFANTSIMAN MUNICIPAL,,,,244764488,kwegyiraggreyshs@ges.gov.gh,,YES,,,,,,,,,
TWIFO PRASO SENIOR HIGH SCHOOL,,TWIFO PRASO,5.177632327,-1.124385361,SHS,Public,CENTRAL,TWIFO ATI-MORKWA,,,,552016060,twifoprasoshs@ges.gov.gh,,YES,,,,,,,,,
TWIFO HEMANG SENIOR HIGH/TECH SCHOOL,,HEMAN,5.617146206,-1.578333547,SHS,Public,CENTRAL,"TWIFO HEMANG LOWER
DENKYIRA",,,,+233 24 659 2664,twifohemangshst@ges.gov.gh,,YES,,,,,,,,,
JUKWA SENIOR HIGH SCHOOL,,JUKWA,5.495418507,-1.535973074,SHS,Public,CENTRAL,"TWIFO HEMANG LOWER
DENKYIRA",,,,033 2133827,jukwashs@ges.gov.gh,,YES,,,,,,,,,
MOKWAA SENIOR HIGH SCHOOL,,NAMOO,5.248587124,-1.34217886,SHS,Public,CENTRAL,TWIFU ATTI-MOKWAA,,,,+233 24 451 2698,mokwaashs@ges.gov.gh,,NO,,,,,,,,,
DUNKWA SENIOR HIGH/TECH SCHOOL,,"DUNKWA-ON-
OFFIN",5.713936767,-1.604877159,SHS,Public,CENTRAL,"UPPER DENKYIRA EAST
MUNICIPAL",,,,243341032,dunkwaseshst@ges.gov.gh,,YES,,,,,,,,,
BOA-AMPONSEM SENIOR HIGH SCHOOL,,"DUNKWA-ON-
OFFIN",5.958254039,-1.786548046,SHS,Public,CENTRAL,"UPPER DENKYIRA EAST
MUNICIPAL",,,,553939587,boa-amponsemshs@ges.gov.gh,,YES,,,,,,,,,
DIASO SENIOR HIGH SCHOOL,,DIASO,5.963066509,-1.7920198,SHS,Public,CENTRAL,UPPER DENKYIRA WEST,,,,509652746,diasoshs@ges.gov.gh,,YES,,,,,,,,,
AYANFURI SENIOR HIGH SCHOOL,,AYANFURI,6.158424802,-2.150332303,SHS,Public,CENTRAL,UPPER DENKYIRA WEST,,,,+233 20 777 7006,ayanfurishs@ges.gov.gh,,NO,,,,,,,,,
DONKORKROM AGRIC SENIOR HIGH SCHOOL,,DONKORKROM,5.964221382,-1.893308961,SHS,Public,EASTERN,"AFRAM PLAINS (KWAHU
NORTH)",,,,+233 24 352 2733,donkorkromagricshs@ges.gov.gh,,YES,,,,,,,,,
MEM-CHEMFRE COMM. SENIOR HIGH SCHOOL,,MEM-CHEMFRE,7.043964935,-0.097739274,SHS,Public,EASTERN,"AFRAM PLAINS (KWAHU
NORTH)",,,,024 362 2617,memchemfrecommshs@ges.gov.gh,,NO,,,,,,,,,
MAAME KROBO COMM. SENIOR HIGH SCHOOL,,MAAME KROBO,6.939650248,-0.025925917,SHS,Public,EASTERN,"AFRAM PLAINS (KWAHU
SOUTH)",,,,024 370 1030,maamekrobocommshs@ges.gov.gh,,NO,,,,,,,,,
ST. FIDELIS SENIOR HIGH/TECH SCHOOL,,TEASE,7.082134441,-0.086794225,SHS,Public,EASTERN,"AFRAM PLAINS (KWAHU
SOUTH)",,,,248777075,stfidelisshst@ges.gov.gh,,YES,,,,,,,,,
J.G. KNOL VOC. TECH. INST.,,ADUKROM AKW.,6.935112904,-0.258220361,TECH,Public,EASTERN,AKUAPEM NORTH,,,,243412694,jgknoltechvocinst@ges.gov.gh,,YES,,,,,,,,,
NIFA SENIOR HIGH SCHOOL,,ADUKROM,6.027128286,-0.081348047,SHS,Public,EASTERN,AKWAPIM NORTH,,,,+233 24 451 9819,nifashs@ges.gov.gh,,YES,,,,,,,,,
"PRESBY SENIOR HIGH/TECH SCHOOL, ADUKROM",,ADUKROM,6.028547049,-0.077518055,SHS,Public,EASTERN,AKWAPIM NORTH,,,,265055511,presbyadukromshst@ges.gov.gh,,YES,,,,,,,,,
H'MOUNT SINAI SENIOR HIGH SCHOOL,,AKROPONG,6.015341849,-0.074386074,SHS,Public,EASTERN,AKWAPIM NORTH,,,,244101010,hmountsinaishs@ges.gov.gh,,YES,,,,,,,,,
OKUAPEMAN SENIOR HIGH SCHOOL,,AKROPONG,5.964078953,-0.089928988,SHS,Public,EASTERN,AKWAPIM NORTH,,,,540932894,okuapemanshs@ges.gov.gh,,YES,,,,,,,,,
MANGOASE SENIOR HIGH SCHOOL,,MANGOASE,5.959422142,-0.094941134,SHS,Public,EASTERN,AKWAPIM NORTH,,,,245248937,mangoaseshs@ges.gov.gh,,YES,,,,,,,,,
BENKUM SENIOR HIGH SCHOOL,,"LARTEH-
AKWAPIM",5.943462019,-0.296873592,SHS,Public,EASTERN,AKWAPIM NORTH,,,,552345891,benkumshs@ges.gov.gh,,YES,,,,,,,,,
"METHODIST GIRLS SENIOR HIGH SCHOOL, MAMFE",,MAMFE,5.942487548,-0.089884661,SHS,Public,EASTERN,AKWAPIM NORTH,,,,+233 20 661 1245,methodistgirlsmamfeshs@ges.gov.gh,,YES,,,,,,,,,
"PRESBY  SENIOR HIGH/TECH SCHOOL, LARTEH",,"LARTEH-
KUBEASE",5.941728306,-0.119686674,SHS,Public,EASTERN,AKWAPIM NORTH,,,,303966633,presbylartehshs@ges.gov.gh,,YES,,,,,,,,,
"MAMPONG/AKW SENIOR HIGH/TECH SCHOOL FOR
THE DEAF",,MAMPONG,5.93489205,-0.072070117,SHS,Public,EASTERN,AKWAPIM NORTH,,,,024 311 5461,mampongakwshstforthedeaf@ges.gov.gh,,YES,,,,,,,,,
"PRESBY SENIOR HIGH SCHOOL, MAMPONG
AKWAPIM",,"MAMPONG-
AKWAPIM",5.90972712,-0.14450633,SHS,Public,EASTERN,AKWAPIM NORTH,,,,024 476 1356,presbymampongakwshs@ges.gov.gh,,YES,,,,,,,,,
"PRESBY SENIOR HIGH/TECH SCHOOL, ABURI",,ABURI,5.906610907,-0.145107145,SHS,Public,EASTERN,AKWAPIM SOUTH,,,,342822013,presbytaburishs@ges.gov.gh,,YES,,,,,,,,,
ADONTEN SENIOR HIGH SCHOOL,,ABURI,5.860103524,-0.17193728,SHS,Public,EASTERN,AKWAPIM SOUTH,,,,548635858,adontenshs@ges.gov.gh,,YES,,,,,,,,,
ABURI GIRLS SENIOR HIGH SCHOOL,,ABURI,5.841200458,-0.187653376,SHS,Public,EASTERN,AKWAPIM SOUTH,,,,556384254,aburigirlsshs@ges.gov.gh,,YES,,,,,,,,,
DIASPORA GIRLS' SENIOR HIGH SCHOOL,,"OBODAN-
NSAWAM",5.837131874,-0.179015588,SHS,Public,EASTERN,AKWAPIM SOUTH,,,,244131199,diasporagirlsshs@ges.gov.gh,,YES,,,,,,,,,
AKOKOASO SENIOR HIGH/TECH SCHOOL,,AKIM AKOKOASO,5.81828162,-0.264026588,SHS,Public,EASTERN,AKYEMANSA,,,,244798698,akokoasoshs@ges.gov.gh,,YES,,,,,,,,,
AYIREBI SENIOR HIGH SCHOOL,,AYIREBI,6.150271137,-1.055061659,SHS,Public,EASTERN,AKYEMANSA,,,,+233 54 320 0365,ayirebishs@ges.gov.gh,,YES,,,,,,,,,
BOSO SENIOR HIGH TECHNICAL SCHOOL,,BOSO,6.094115523,-1.135677301,SHS,Public,EASTERN,ASUOGYAMAN,,,,+233 24 659 0803,bososhst@ges.gov.gh,,YES,,,,,,,,,
ANUM PRESBY SENIOR HIGH SCHOOL,,ANUM,6.546147009,0.171165585,SHS,Public,EASTERN,ASUOGYAMAN,,,,249762291,presbyanumshs@ges.gov.gh,,YES,,,,,,,,,
ADJENA SENIOR HIGH/TECH SCHOOL,,ADJENA,6.3654116,0.037341554,SHS,Public,EASTERN,ASUOGYAMAN,,,,553163648,adjenashst@ges.gov.gh,,YES,,,,,,,,,
APEGUSO SENIOR HIGH SCHOOL,,APEGUSO,6.365172373,0.058420539,SHS,Public,EASTERN,ASUOGYAMAN,,,,+233 24 424 8447,apegusoshs@ges.gov.gh,,YES,,,,,,,,,
AKWAMUMAN SENIOR HIGH SCHOOL,,"ATIMPOKU-
AKOSOMBO",6.317353951,0.160596526,SHS,Public,EASTERN,ASUOGYAMAN,,,,261408811,akwamumanshs@ges.gov.gh,,YES,,,,,,,,,
"S.D.A. SENIOR HIGHSCHOOL, AKIM SEKYERE",,AKIM SEKYERE,6.249962527,0.083365668,SHS,Public,EASTERN,ATIWA,,,,244790195,sdasksakimsekyereshs@ges.gov.gh,,YES,,,,,,,,,
KWABENG ANGLICAN SENIOR HIGH/TECH SCHOOL,,KWABENG,6.922025809,-1.375271261,SHS,Public,EASTERN,ATIWA,,,,244800137,kwabenganglicanshst@ges.gov.gh,,YES,,,,,,,,,
ANUM APAPAM COMM. DAY SENIOR HIGH SCHOOL,,ANUM APAPAM,6.317113169,-0.590345101,SHS,Public,EASTERN,AYENSUANO,,,,243181299,anumapapamcommshs@ges.gov.gh,,NO,,,,,,,,,
"KRABOA-COALTAR PRESBY SENIOR HIGH SCHOOL
HIGH/TECH.",,"KRABOA-
COALTAR",6.007509253,-0.530470588,SHS,Public,EASTERN,AYENSUANO,,,,024 451 8837,presbykraboacoaltarshst@ges.gov.gh,,YES,,,,,,,,,
ODA SENIOR HIGH SCHOOL,,AKIM ODA,5.90551829,-0.467177417,SHS,Public,EASTERN,BIRIM CENTRAL MUNICIPAL,,,,244858236,odashs@ges.gov.gh,,YES,,,,,,,,,
"ST. FRANCIS SENIOR HIGH/TECH SCHOOL, AKIM
ODA",,AKIM ODA,5.968778604,-0.992289376,SHS,Public,EASTERN,BIRIM CENTRAL MUNICIPAL,,,,244531181,stfrancisshst@ges.gov.gh,,YES,,,,,,,,,
ATTAFUAH SENIOR HIGH/TECH SCHOOL,,AKIM ODA,5.932869709,-0.990407934,SHS,Public,EASTERN,BIRIM CENTRAL MUNICIPAL,,,,559048637,attafuahshst@ges.gov.gh,,YES,,,,,,,,,
ATWEAMAN SENIOR HIGH SCHOOL,,AKIM MANSO,5.916885486,-0.993610074,SHS,Public,EASTERN,BIRIM CENTRAL MUNICIPAL,,,,+233 24 977 8689,atweamanshs@ges.gov.gh,,YES,,,,,,,,,
AKROSO SENIOR HIGH/TECH SCHOOL,,AKROSO,"5?46'13.2""N","0?45'43.3""W",SHS,Public,EASTERN,BIRIM CENTRAL MUNICIPAL,,,,+233 24 271 4335,akrososhst@ges.gov.gh,,YES,,,,,,,,,
AMOANA PRASO SENIOR HIGH SCHOOL,,AMOANA PRASO,5.763812266,-0.762471759,SHS,Public,EASTERN,BIRIM NORTH,,,,245042008,amoanaprasoshs@ges.gov.gh,,NO,,,,,,,,,
"ST. MICHAEL'S SENIOR HIGH SCHOOL, AKOASE
(NKAWKAW)",,"AKOASE,
NKAWKAW",6.514650165,-0.977241888,SHS,Public,EASTERN,BIRIM NORTH,,,,+233 24 258 9542,st.michaelsakoaseshs@ges.gov.gh,,NO,,,,,,,,,
NEW ABIREM/AFOSU SENIOR HIGH SCHOOL,,NEW ABIREM,6.466592086,-0.897821232,SHS,Public,EASTERN,BIRIM NORTH,,,,055 237 5908,newabiremafosushs@ges.gov.gh,,YES,,,,,,,,,
AKIM SWEDRU SENIOR HIGH SCHOOL,,AKIM SWEDRU,6.34915661,-0.997631367,SHS,Public,EASTERN,BIRIM SOUTH,,,,+233 54 584 6387,akimswedrushs@ges.gov.gh,,YES,,,,,,,,,
ACHIASE SENIOR HIGH SCHOOL,,ACHIASE,5.890748873,-1.024555561,SHS,Public,EASTERN,BIRIM SOUTH,,,,+233 24 669 2322,achiaseshs@ges.gov.gh,,YES,,,,,,,,,
APERADE SENIOR  HIGH/TECH SCHOOL,,AKIM APERADE,5.811066791,-1.005957146,SHS,Public,EASTERN,BIRIM SOUTH,,,,578002365,aperadeshst@ges.gov.gh,,NO,,,,,,,,,
AKWATIA TECH. INST.,,AKWATIA,5.789664597,-1.097883174,TECH,Public,EASTERN,DENKYEMBOUR,,,,248683943,akwatiatechinst@ges.gov.gh,,YES,,,,,,,,,
"ST. ROSE'S SENIOR HIGH SCHOOL, AKWATIA",,AKWATIA,6.030365841,-0.805834001,SHS,Public,EASTERN,DENKYEMBOUR,,,,209889966,strosesshs@ges.gov.gh,,YES,,,,,,,,,
TARKROSI COMM. SENIOR HIGH SCHOOL,,TARKROSI,6.038557259,-0.814651973,SHS,Public,EASTERN,DENKYEMBOUR,,,,024 485 8236,tarkrosicommshs@ges.gov.gh,,NO,,,,,,,,,
"SALVATION ARMY SENIOR HIGH SCHOOL, AKIM
WENCHI",,AKIM WENCHI,"5?59'53.6""N","0?55'43.9""W",SHS,Public,EASTERN,DENKYEMBOUR,,,,˜024 307 3518,salvationarmywenchishs@ges.gov.gh,,YES,,,,,,,,,
ST. PAUL'S TECH. SCHOOL,,KUKURANTUMI,5.997568998,-0.929027547,TECH,Public,EASTERN,EAST AKIM,,,,+233 55 675 4672,st.paulstechshs@ges.gov.gh,,YES,,,,,,,,,
"W.B.M. ZION SENIOR HIGH SCHOOL, OLD TAFO",,OLD TAFO,6.19388532,-0.371151561,SHS,Public,EASTERN,EAST AKIM MUNICIPAL,,,,209023646,wbmzionshs@ges.gov.gh,,YES,,,,,,,,,
"ST. STEPHEN'S PRESBY SENIOR HIGH/TECH
SCHOOL, ASIAKWA",,ASIAKWA,6.236452937,-0.39307909,SHS,Public,EASTERN,EAST AKIM MUNICIPAL,,,,279152931,ststephenspresbyshst@ges.gov.gh,,YES,,,,,,,,,
"SAVIOUR SENIOR HIGH SCHOOL, OSIEM",,OSIEM,6.269293277,-0.50074959,SHS,Public,EASTERN,EAST AKIM MUNICIPAL,,,,+233 24 341 2811,saviourshs@ges.gov.gh,,YES,,,,,,,,,
OFORI PANIN SENIOR HIGH SCHOOL,,KUKURANTUMI,6.249151058,-0.428017673,SHS,Public,EASTERN,EAST AKIM MUNICIPAL,,,,204280113,oforipaninshs@ges.gov.gh,,YES,,,,,,,,,
AKIM ASAFO SENIOR HIGH SCHOOL,,AKIM ASAFO,6.216393308,-0.37073123,SHS,Public,EASTERN,EAST AKIM MUNICIPAL,,,,277344571,akimasafoshs@ges.gov.gh,,YES,,,,,,,,,
ABUAKWA STATE COLLEGE,,KIBI,6.17606656,-0.469649432,SHS,Public,EASTERN,EAST AKIM MUNICIPAL,,,,555248965,abuakwastateshs@ges.gov.gh,,YES,,,,,,,,,
KIBI SENIOR HIGH/TECH SCHOOL,,KIBI,6.17582886,-0.544163476,SHS,Public,EASTERN,EAST AKIM MUNICIPAL,,,,+233 24 482 6517,kibishst@ges.gov.gh,,YES,,,,,,,,,
APEDWA PRESBY SENIOR HIGH SCHOOL,,APEDWA,6.159330801,-0.556467732,SHS,Public,EASTERN,EAST AKIM MUNICIPAL,,,,+233 24 362 0327,presbyshsapedwa@ges.gov.gh,,NO,,,,,,,,,
"PRESBY SENIOR HIGH SCHOOL, BEGORO",,BEGORO,6.12634045,-0.495614915,SHS,Public,EASTERN,FANTEAKWA,,,,244682512,presbybegoroshs@ges.gov.gh,,YES,,,,,,,,,
OSINO PRESBY SENIOR HIGH/TECH SCHOOL,,OSINO,6.368329185,-0.362552232,SHS,Public,EASTERN,FANTEAKWA,,,,024 082 6242,osinopresbyshst@ges.gov.gh,,YES,,,,,,,,,
NEW NSUTAM SENIOR HIGH/TECH SCHOOL,,NEW NSUTAM,6.297970398,-0.474869332,SHS,Public,EASTERN,FANTEAKWA,,,,024 341 5974,newnsutamshst@ges.gov.gh,,YES,,,,,,,,,
ASUOM SENIOR HIGH SCHOOL,,ASUOM,6.27329484,-0.876029221,SHS,Public,EASTERN,KWAEBIBIREM,,,,578131816,asuomshs@ges.gov.gh,,YES,,,,,,,,,
KADE SENIOR HIGH/TECH SCHOOL,,KADE,6.094079342,-0.834140946,SHS,Public,EASTERN,KWAEBIBIREM,,,,+233 26 427 6444,kadeshst@ges.gov.gh,,YES,,,,,,,,,
AMANKWAKROM FISHERIES AGRIC. TECH. INST.,,AMANKWAKROM,7.172576598,0.096383013,TECH,Public,EASTERN,"KWAHU AFRAM PLAINS
NORTH",,,,+233 34 229 2470,amankwakromfisheriesagrictechinst@ges.gov.g,,NO,,,,,,,,,
ST. MARY'S VOC./TECH. INST.,,ADIEMBRA,7.062117597,-0.057599792,SHS,Public,EASTERN,"KWAHU AFRAM PLAINS
NORTH",,,,208160645,stmarytechvocinst@ges.gov.gh,,YES,,,,,,,,,
"ST. DOMINIC'S SENIOR HIGH/TECH SCHOOL,
PEPEASE",,PEPEASE,6.692635821,-0.737580277,SHS,Public,EASTERN,KWAHU EAST,,,,˜0208765647,stdominicsshs@ges.gov.gh,,YES,,,,,,,,,
ABETIFI TECH. INST.,,ABETIFI,6.670640644,-0.755572231,TECH,Public,EASTERN,KWAHU EAST,,,,+233 59 156 0513,abetifitechinst@ges.gov.gh,,YES,,,,,,,,,
ABETIFI PRESBY SENIOR HIGH SCHOOL,,ABETIFI,6.672748924,-0.737988319,SHS,Public,EASTERN,KWAHU EAST,,,,+233 24 465 7474,abetifipresbyshs@ges.gov.gh,,YES,,,,,,,,,
KWAHU TAFO SENIOR HIGH SCHOOL,,KWAHU TAFO,6.654848905,-0.664719761,SHS,Public,EASTERN,KWAHU EAST,,,,+233 24 285 0387,kwahutafoshs@ges.gov.gh,,YES,,,,,,,,,
NKWATIA PRESBY SENIOR HIGH/COMM SCHOOL,,NKWATIA,6.632944419,-0.744457704,SHS,Public,EASTERN,KWAHU EAST,,,,+233 24 386 3984,presbynkwatiacomshs@ges.gov.gh,,YES,,,,,,,,,
"ST. PETER'S SENIOR HIGH SCHOOL, NKWATIA",,NKWATIA,6.625668439,-0.72946575,SHS,Public,EASTERN,KWAHU EAST,,,,248814310,stpetersshs@ges.gov.gh,,YES,,,,,,,,,
"ST. PAUL'S SENIOR HIGH SCHOOL, ASAKRAKA
KWAHU",,"ASAKRAKA-
KWAHU",6.629651537,-0.700643404,SHS,Public,EASTERN,KWAHU SOUTH,,,,507696119,stpaulskwahushs@ges.gov.gh,,YES,,,,,,,,,
BEPONG SENIOR HIGH SCHOOL,,BEPONG,6.608706349,-0.710263731,SHS,Public,EASTERN,KWAHU SOUTH,,,,246945755,bepongshs@ges.gov.gh,,YES,,,,,,,,,
MPRAESO SENIOR HIGH SCHOOL,,MPRAESO,6.601718711,-0.73915505,SHS,Public,EASTERN,KWAHU SOUTH,,,,342099867,mpraesoshs@ges.gov.gh,,YES,,,,,,,,,
KWAHU RIDGE SENIOR HIGH SCHOOL,,OBO-KWAHU,6.599880123,-0.777592862,SHS,Public,EASTERN,KWAHU SOUTH,,,,+233 27 781 7115,kwahuridgeshs@ges.gov.gh,,YES,,,,,,,,,
ST. JOSEPH'S TECH. INST.,,KWAHU-TAFO,6.654995052,-0.669398827,TECH,Public,EASTERN,KWAHU SOUTH,,,,276221376,stjosephstechinstkwahu@ges.gov.gh,,YES,,,,,,,,,
FODOA COMM. SENIOR HIGH SCHOOL,,"FODOA
NKAWKAW",6.595451668,-0.89150105,SHS,Public,EASTERN,KWAHU WEST MUNICIPAL,,,,024 254 9289,fodoacommshs@ges.gov.gh,,NO,,,,,,,,,
NKAWKAW SENIOR HIGH SCHOOL,,NKAWKAW,6.538514013,-0.758841719,SHS,Public,EASTERN,KWAHU WEST MUNICIPAL,,,,343122204,nkawkawshs@ges.gov.gh,,YES,,,,,,,,,
